study,number
46.06.01 - Исторические науки и археология,11
46.06.01 - Исторические науки и археология,4
45.06.01 - Языкознание и литературоведение,20
45.06.01 - Языкознание и литературоведение,4
01.06.01 - Математика и механика,1
01.06.01 - Математика и механика,3
09.06.01 - Информатика и вычислительная техника,3
09.06.01 - Информатика и вычислительная техника,2
"47.06.01 - Философия, этика и религиоведение",1
"47.06.01 - Философия, этика и религиоведение",1
42.06.01 - Средства массовой информации и информационно-библиотечное дело,3
32.06.01 - Медико-профилактическое дело,2
32.06.01 - Медико-профилактическое дело,28
41.06.01 - Политические науки и регионоведение,4
41.06.01 - Политические науки и регионоведение,1
40.06.01-  Юриспруденция,5
40.06.01-  Юриспруденция,14
49.06.01- Физическая культура и спорт,3
49.06.01- Физическая культура и спорт,7
44.06.01 - Образование и педагогические науки,13
44.06.01 - Образование и педагогические науки,7
38.06.01 - Экономика,8
38.06.01 - Экономика,12
06.06.01 - Биологические науки,2
06.06.01 - Биологические науки,8
05.06.01 - Науки о Земле,2
05.06.01 - Науки о Земле,3
03.06.01 - Физика и астрономия,2
03.06.01 - Физика и астрономия,1
18.06.01 - Химическая технология,3
39.06.01 - Социологические науки,1
37.06.01 - Психологические науки,2
37.06.01 - Психологические науки,9
01.03.01 - Математика,89
01.03.02 - Прикладная математика и информатика,8
01.03.02 - Прикладная математика и информатика,88
04.03.01 - Химия,21
04.03.01 - Химия,92
05.03.02 - География,70
05.03.06 - Экология и природопользование,45
05.03.06 - Экология и природопользование,69
06.03.01 - Биология,7
06.03.01 - Биология,90
09.03.03 - Прикладная информатика,100
09.03.03 - Прикладная информатика,60
10.03.01 - Информационная безопасность,56
10.05.05 - Безопасность информационных технологий в правоохранительной сфере,82
11.03.02 - Инфокоммуникационные технологии и системы связи,27
11.03.02 - Инфокоммуникационные технологии и системы связи,25
31.05.01 - Лечебное дело,3105
31.05.02 - Педиатрия,215
31.05.03 - Стоматология,559
37.03.01 - Психология,50
37.03.01 - Психология,19
37.05.01 - Клиническая психология,79
37.05.02 - Психология служебной деятельности,9
38.03.03 - Управление персоналом,30
38.03.03 - Управление персоналом,44
38.03.04 - Государственное и муниципальное управление,48
38.03.04 - Государственное и муниципальное управление,34
38.03.05 - Бизнес-информатика,59
38.03.05 - Бизнес-информатика,13
38.03.06 - Торговое дело,37
38.05.01 - Экономическая безопасность,96
38.05.01 - Экономическая безопасность,52
39.03.01 - Социология,48
39.03.01 - Социология,46
40.05.01 - Правовое обеспечение национальной безопасности,216
40.05.01 - Правовое обеспечение национальной безопасности,222
41.03.04 - Политология,36
41.03.05 - Международные отношения,58
42.03.01 - Реклама и связи с общественностью,49
42.03.01 - Реклама и связи с общественностью,54
42.03.02 - Журналистика,60
42.03.02 - Журналистика,41
43.03.01 - Сервис,42
43.03.01 - Сервис,35
43.03.02 - Туризм,49
43.03.02 - Туризм,43
44.03.03 - Специальное (дефектологическое) образование,63
44.03.03 - Специальное (дефектологическое) образование,139
46.03.01 - История,60
46.03.01 - История,23
46.03.02 - Документоведение и архивоведение,34
46.03.02 - Документоведение и архивоведение,14
47.03.01 - Философия,10
48.03.01 - Теология,15
48.03.01 - Теология,22
49.03.01 - Физическая культура,67
49.03.01 - Физическая культура,53
49.03.02 - Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура),11
51.03.01 - Культурология,15
51.03.01 - Культурология,1
51.03.06 - Библиотечно-информационная деятельность,19
51.03.06 - Библиотечно-информационная деятельность,13
52.05.01 - Актерское искусство,32
54.03.01 - Дизайн,67
Университетский профильный класс,220
34.02.01 - Сестринское дело,340
38.02.01 - Экономика и бухгалтерский учёт (по отраслям),54
40.02.02 - Правоохранительная деятельность,387
31.08.32 - Дерматовенерология,21
31.08.01 - Акушерство и гинекология,20
31.08.05 - Клиническая лабораторная диагностика,10
31.08.57 - Онкология,4
31.08.19 - Педиатрия,26
31.08.49 - Терапия,39
31.08.67 - Хирургия,17
31.08.53 - Эндокринология,12
44.03.01 - Педагогическое образование,273
44.03.01 - Педагогическое образование,112
38.03.01 - Экономика,185
38.03.01 - Экономика,175
40.03.01 - Юриспруденция,84
40.03.01 - Юриспруденция,268
40.03.01 - Юриспруденция,98
01.04.01 - Математика,4
01.04.01 - Математика,15
01.04.02 - Прикладная математика и информатика,1
01.04.02 - Прикладная математика и информатика,7
03.03.02 - Физика,85
37.04.01 - Психология,53
37.04.01 - Психология,9
44.04.01 - Педагогическое образование,22
44.04.01 - Педагогическое образование,64
38.04.08 - Финансы и кредит,9
38.04.08 - Финансы и кредит,57
38.04.01 - Экономика,6
38.04.01 - Экономика,90
40.04.01 - Юриспруденция,21
40.04.01 - Юриспруденция,377
45.03.02 - Лингвистика,119
45.03.01 - Филология,151
45.03.01 - Филология,62
38.03.02 - Менеджмент,63
38.03.02 - Менеджмент,78
44.03.05 - Педагогическое образование (с двумя профилями подготовки),124
44.03.05 - Педагогическое образование (с двумя профилями подготовки),105
31.08.59 - Офтальмология,23
44.04.02 - Психолого-педагогическое образование,23
44.04.02 - Психолого-педагогическое образование,45
Довузовская подготовка,102
Довузовская подготовка,3
"Филология, русский язык и литература",15
38.04.10 - Жилищное хозяйство и коммунальная инфраструктура,8
31.08.02 - Анестезиология-реаниматология,6
31.08.42 - Неврология,11
31.08.20 - Психиатрия,3
31.08.09 - Рентгенология,10
31.08.66 - Травматология и ортопедия,10
31.08.36 - Кардиология,9
38.02.06 - Финансы,62
54.02.01 - Дизайн (по отраслям),20
19.04.01 - Биотехнология,14
"18.04.02 - Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",9
48.04.01 - Теология,14
44.02.04 - Специальное дошкольное образование,42
53.03.03 - Вокальное искусство,15
53.03.03 - Вокальное искусство,7
53.04.02 - Вокальное искусство,12
40.05.04 - Судебная и прокурорская деятельность,33
40.05.04 - Судебная и прокурорская деятельность,28
Комплексная подготовка к ЕГЭ по химии,1
31.08.73 - Стоматология терапевтическая,9
44.03.02 - Психолого-педагогическое образование,40
44.03.02 - Психолого-педагогическое образование,103
39.03.02 - Социальная работа,51
39.03.02 - Социальная работа,58
51.03.03 - Социально-культурная деятельность,21
51.03.03 - Социально-культурная деятельность,44
53.03.02 - Музыкально-инструментальное искусство,25
46.04.02 - Документоведение и архивоведение,10
46.04.02 - Документоведение и архивоведение,31
51.04.03 - Социально-культурная деятельность,6
51.04.03 - Социально-культурная деятельность,8
51.04.06 - Библиотечно-информационная деятельность,4
52.04.01 - Хореографическое искусство,19
54.04.01 - Дизайн,6
54.04.01 - Дизайн,5
41.04.04 - Политология,2
41.04.04 - Политология,9
41.04.05 - Международные отношения,17
46.04.01 - История,24
46.04.01 - История,26
47.04.01 - Философия,12
47.04.01 - Философия,1
51.04.01 - Культурология,9
03.04.02 - Физика,1
03.04.02 - Физика,15
09.04.03 - Прикладная информатика,29
09.04.03 - Прикладная информатика,10
38.04.02 - Менеджмент,37
38.04.02 - Менеджмент,3
38.04.03 - Управление персоналом,2
38.04.03 - Управление персоналом,30
38.04.04 - Государственное и муниципальное управление,8
38.04.04 - Государственное и муниципальное управление,51
38.04.06 - Торговое дело,10
43.04.01 - Сервис,5
43.04.01 - Сервис,33
43.04.02 - Туризм,8
43.04.02 - Туризм,11
44.04.03 - Специальное (дефектологическое) образование,90
32.04.01 - Общественное здравоохранение,15
32.04.01 - Общественное здравоохранение,15
39.04.02 - Социальная работа,5
39.04.02 - Социальная работа,23
45.04.01 - Филология,24
45.04.01 - Филология,44
42.04.02 - Журналистика,10
42.04.02 - Журналистика,31
42.04.01 - Реклама и связи с общественностью,12
42.04.01 - Реклама и связи с общественностью,7
45.04.02 - Лингвистика,23
45.04.02 - Лингвистика,56
38.04.05 - Бизнес-информатика,2
38.04.05 - Бизнес-информатика,14
38.04.09 - Государственный аудит,1
49.04.02 - Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура),30
49.04.03 - Спорт,29
49.04.03 - Спорт,19
05.04.02 - География,22
05.04.06 - Экология и природопользование,1
05.04.06 - Экология и природопользование,22
04.04.01 - Химия,17
06.04.01 - Биология,20
53.04.01 - Музыкально-инструментальное искусство,13
49.04.01 - Физическая культура,36
Разговорный иностранный язык,20
Иностранный язык в сфере профессиональной коммуникации,1
39.04.01 - Социология,4
39.04.01 - Социология,25
52.03.01 - Хореографическое искусство,4
52.03.01 - Хореографическое искусство,48
21.03.02 - Землеустройство и кадастры,60
